eval_id,customer_text,human_intent,human_evidence_independent,evidence_sufficient,confidence,reason,human_label,judge_label,agreement
1,@AmericanAir my flight tmrw is booked for 7:45pm &amp; w/o warning I’m being asked to check in for a 5:08pm flight. What am I supposed to do? https://t.co/wpu8eVxZO8,cancellation_schedule,False,False,5,"The evidence concerns lost property, seat availability, and missed connections, not an unexpected schedule change or check-in for an earlier flight.",False,False,True
2,@AmericanAir So if they compensate people to voluntarily give up their seat I think they ought to compensate you for not putting you on the flight you paid for. Only fair right?,payment_fees_refund,False,False,5,The evidence does not explain compensation eligibility or address being denied the flight paid for; it only mentions possible vouchers and general gate assistance.,False,False,True
3,"(1/2) Another disappointing experience @AmericanAir. Agent error, go from upgrade to 1st to losing seat. No apology. Glad I’m ecexplat👍",seat,False,False,5,"The evidence discusses using a voucher for an upgrade and generic first-class experiences, but not an agent-caused loss of an upgraded seat or an appropriate resolution.",False,False,True
4,"My in flight entertainment system is not working. Thanks @AmericanAir, you never cease to suck!",onboard_services,True,True,4,One example directly concerns a problem with in-flight entertainment and supports advising the customer to notify a crew member.,True,True,True
5,@AmericanAir AA5172 is now delayed until 5:54 (scheduled departure of 2:44). Am I going to get to Indy tonight? Please tell me soon so that I can avoid an afternoon at the airport along with disrupted vacation plans.,flight_delay_status,False,False,5,"The evidence does not provide the current flight status, expected arrival in Indianapolis, or guidance on whether the customer should remain at the airport.",False,False,True
7,@AmericanAir can an individual have 2 advantage accounts?,loyalty,False,False,4,"The evidence mentions an account holder with multiple accounts and directs them to customer service, but it does not establish whether an individual may have two AAdvantage accounts.",False,False,True
8,@AmericanAir And Bc we missed are take off window we sitting here now 🤷🏾‍♂️,rebooking_itinerary,False,False,5,"The evidence concerns waiting on the aircraft and delays, but does not address a missed takeoff window or rebooking options.",False,False,True
9,@AmericanAir Been waiting 45 minutes at DCA gate 39 for wheelchair to bag claim,accessibility,False,False,5,"The evidence concerns waits for boarding, gates, and baggage, not the customer's specific request for wheelchair assistance from the gate to baggage claim.",False,False,True
11,"Nice J seat for me on AA107, love the 777-300 @AmericanAir https://t.co/tBf1yeo6aE",seat,True,False,4,"The evidence discusses 777 aircraft operations and general celebratory comments, but does not meaningfully address or support a response to the customer's specific J-seat comment.",True,False,False
12,"Hey, @AmericanAir, if my flight is going to be canceled on December 23, please let me know now and not later. I don’t want it to come to this, but I may have to find another airline who actually has pilots who are scheduled to fly.",cancellation_schedule,False,False,5,"The evidence addresses a reservation already canceled, a delay update, and website issues, but not advance notification of a possible future cancellation.",False,False,True
15,"Unfortunately another @AmericanAir failure. My trusty carry on, checked out in the measuring device this afternoon, (have used it hundreds of times) was rejected and checked after being shoddily thrust into the measurer at an angle to “prove” it wouldn’t fit.",baggage,False,False,4,"The evidence acknowledges similar carry-on sizing frustration but provides no policy, explanation, or resolution for the disputed bag measurement.",False,False,True
16,@AmericanAir trying to request upgrade for a flight but it’s not letting me. Any tips? I want to use my 500-mile upgrades!,general_complaint_or_other,False,False,5,The evidence discusses eligibility and upgrade types but does not explain why the customer cannot request a 500-mile upgrade or how to fix the issue.,False,False,True
19,@AmericanAir Lost our premium seats on flight 2715 to CLT after your flight from SKB 318 was an hour late. Rebooked on 1928 but lost out seats $$ and priority boarding $$. When will you be refunding these fees? #bummer,payment_fees_refund,False,False,5,"The evidence supports requesting a record locator to investigate lost seats, but does not address whether or when seat and priority-boarding fees will be refunded.",False,False,True
20,Dang @AmericanAir. Getting stingy with that bag rule. ✈ thought you were better than those discount airlines #smh #holidaytravel,baggage,False,False,5,"The evidence concerns flight cancellation, generic assistance, and a bag-related DM, but does not address the customer's bag-rule complaint.",False,False,True
21,@AmericanAir Can’t afford to rebook! Getting through the airport with a broken ankle then standing in the wheelchair scan line for so long has me nervous. Plane leaves in 19 minutes!,accessibility,False,False,5,"The evidence only offers generic patience or assistance and does not address urgent wheelchair access, the broken ankle, or the imminent departure.",False,False,True
23,"Flying @AmericanAir on a day trip  to CMH thru CLT both ways. Delay out of CMH meant a sprint was forthcoming thru CLT. Gate agent @ b24 in CMH saw i might not make connex, booked me on next nonstop arriving an hour earlier. I'll get to see my 4yo on her bday. Thank you, AA!",rebooking_itinerary,False,False,4,"The evidence concerns missed connections and possible rebooking, but does not support a response to this specific successful rebooking and thank-you message.",False,False,True
25,@AmericanAir AA3753 waiting at the gate in Miami for 20 minutes before 1 of ur agents showed up to open door??! What’s happening here? Can we go home now?,checkin_boarding_gate,True,True,4,A closely matching case involving a gate crew absent for about 20 minutes supports apologizing and advising that the team should arrive shortly.,True,True,True
27,"Seat reassigned to the back of the plane next to the toilets. So much for loyalty. What gives, @AmericanAir?",seat,True,True,4,The evidence directly addresses being moved to the back of the aircraft and supports offering help with a seat change or explaining that an equipment change may be involved.,True,True,True
28,"Boarded my plane to NY just to be deplaned 45 mins later.  On top of that, I got delayed 2 more times. I knew my 5 minute security experience was too good to be true this morning 🙄 @AmericanAir",flight_delay_status,False,False,5,The retrieved examples are unrelated to deplaning and repeated delays and provide no flight-status information or resolution.,False,False,True
31,Booked flights home with @AmericanAir last night and haven't received my confirmation email and stupidly didn't write down the booking reference number. #helpmeimdumb,booking,True,False,5,"Although one example involves a missing confirmation email, the suggested record-locator process does not help a customer who never received or recorded the booking reference.",True,False,False
32,"Hey @AmericanAir: AA2295 delayed 2.5 hours, means we’ll miss connection home to our families tonight. Attendants say you won’t do anything to help once we arrive in Miami (food?  a place to sleep?). Say it ain’t so!  Please don’t let us lose faith in you . . . See you at MIA!",rebooking_itinerary,False,False,5,"The evidence only contains generic assurances and does not address the delayed flight, missed connection, rebooking, meals, or lodging.",False,False,True
33,"So on @delta app, I can easily get a reciept for a bag check fee. I can’t on @AmericanAir app, though. Need to weed through and fill out form with a ticket number I don’t have.  So I’m waiting for a callback from customer service.",baggage,False,False,4,The evidence discusses forms and unrelated fee or lost-item issues but does not explain how to obtain a bag-fee receipt without the required ticket number.,False,False,True
34,"@British_Airways @AmericanAir Any chance that you guys can talk to each other and get my refund from over 3 weeks ago for the cancelled flights, lost luggage, etc? Getting beyond a joke now.",payment_fees_refund,True,False,4,"The evidence provides generic refund-request or status guidance but does not address the specific delayed refund involving cancelled flights, lost luggage, and two airlines.",True,False,False
37,"@AmericanAir not sure how you managed to un-check me in after I checked in, checked a bag at the airport and paid to upgrade to a specific seat which will now be occupied by somebody else. #unhappycustomer",checkin_boarding_gate,False,False,5,"The evidence does not address being unchecked in, loss of a paid seat upgrade, or possible compensation; it only suggests contacting support about a checked bag.",False,False,True
39,"@AmericanAir It was very thought full if that stranger. My issue is that I had address my concerns about space 3 times prior to boarding and was assured there was plenty. When I boarded there was not, and one flight attendant was very rude and said I should just get on a different flight.",seat,True,True,4,"One example closely matches the customer's ESA seating, lack-of-space, and rude-flight-attendant concerns and supports an apologetic follow-up about the originally assigned seat.",True,True,True
43,Thank you @AmericanAir for refunding me my full ticket after I missed my flight last week due to the @120943 debacle in St. Thomas.,payment_fees_refund,True,True,4,"The evidence directly supports acknowledging and positively responding to a customer thanking American for refunding a ticket, although the specific disruption differs.",True,True,True
49,@AmericanAir why can’t I download my mobile boarding pass???? Try again later??? There is no later - I need to get on my plane!,checkin_boarding_gate,True,True,5,The evidence directly addresses delayed or malfunctioning mobile boarding passes and supports asking for the record locator to investigate urgently.,True,True,True
50,@AmericanAir $1100 for charge fees! A joke! You guys are straight losers,payment_fees_refund,False,False,5,"The evidence is generic or unrelated and provides no information about the reported $1,100 in charges or how to investigate or dispute them.",False,False,True
52,@AmericanAir When will I know if my flight is cancelled and I need to make other arrangements?,cancellation_schedule,True,False,5,"The evidence concerns specific delays, cancellations, and rebooking but does not answer when the customer will be notified or when to make alternate arrangements.",True,False,False
54,@AmericanAir y’all really have to get new episodes of tv shows on y’all flights. I’ve watched these same episodes over and over again. Lol,onboard_services,False,False,5,"The evidence concerns malfunctioning entertainment systems and unrelated seat options, not the customer's request for newer television episodes.",False,False,True
56,@AmericanAir So am I gonna be able to avoid a cancellation fee so I can rebook my flight with another airline so I can make sure I can actually get home for Christmas?,cancellation_schedule,False,False,5,"The evidence discusses delays and whether a flight will operate, but does not address cancellation fees or rebooking with another airline.",False,False,True
58,I mean @AmericanAir for destroying my suitcase :-) https://t.co/R3Yhuv2yUG,baggage,True,True,5,The evidence directly addresses damaged luggage and provides a relevant next step to file a baggage claim.,True,True,True
59,🙌🏼 @611167 Loved seeing this on my @AmericanAir flight. https://t.co/jww9YiEBRl,general_complaint_or_other,True,True,5,The evidence supports a suitable positive response to praise about something seen on an American Airlines flight.,True,True,True
61,"@AmericanAir AA 2461. Only bad experience was with rude, profane, unprofessional gate staff. Even other AA team members commented on their rudeness. Other passengers equally baffled with their treatment of us, as bag fit and there was adequate room.",checkin_boarding_gate,False,False,5,"The evidence concerns flight delays and operational issues, not rude or unprofessional gate staff or the passenger's boarding dispute.",False,False,True
62,"@AmericanAir Passenger is not elite status. Heard the conversation. Don’t mind paying, but do mind it being offered for free when I’ve paid",flight_delay_status,False,False,5,The evidence does not address the complaint about unequal treatment of elite and non-elite passengers or paid versus complimentary benefits.,False,False,True
