eval_id,customer_text,human_intent,predicted_intent,intent_confidence,retrieved_customer_text,retrieved_support_text,retrieval_similarity,retrieved_intent,safe_to_auto_handle,evidence_sufficient,escalation_reason,expected_reply_points,retrieval_evidence,system_decision,system_reason,human_decision,human_evidence,system_evidence
1,@AmericanAir my flight tmrw is booked for 7:45pm &amp; w/o warning I’m being asked to check in for a 5:08pm flight. What am I supposed to do? https://t.co/wpu8eVxZO8,cancellation_schedule,checkin_boarding_gate,0.1658765780879304,@AmericanAir I am not being allowed to check in for my flight... not sure what to do #help,@511968 We can take a peek here at your reservation to see what's going on. Please follow and slide into DMs with your 6-letter booking code.,0.25980316874686704,checkin_boarding_gate,False,False,live_travel_or_itinerary_issue,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,True,AUTO,sufficient_evidence_low_risk,ESCALATE,INSUFFICIENT,SUFFICIENT
2,@AmericanAir So if they compensate people to voluntarily give up their seat I think they ought to compensate you for not putting you on the flight you paid for. Only fair right?,payment_fees_refund,seat,0.17902794844770514,@AmericanAir will not board unless 2 people give up their seats #terrible,@186869 Our gate team will make sure everyone is taken great care of. Please let their team know if you have questions.,0.1799601473207899,seat,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
3,"(1/2) Another disappointing experience @AmericanAir. Agent error, go from upgrade to 1st to losing seat. No apology. Glad I’m ecexplat👍",seat,seat,0.11849953816679712,"@AmericanAir no apology, no refund offered for upgraded seat, none of it.  You have a sense of humor though... cont","@329270 We're sorry for the inconvenience, Chad. You'll receive a refund for your purchased seats once you complete travel.",0.12351807313037122,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,False,ESCALATE,low_intent_confidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
4,"My in flight entertainment system is not working. Thanks @AmericanAir, you never cease to suck!",onboard_services,onboard_services,0.21090659391506836,@AmericanAir providing in-Flight entertainment #squeak https://t.co/UZjKNWTZtW,"@497213 We're sorry for the #squeaks, Stacy. Please be sure to let a crew member know.",0.37697927458362923,onboard_services,False,False,current_service_or_aircraft_issue,Provide information about onboard services and escalate current aircraft-specific problems.,True,AUTO,sufficient_evidence_low_risk,ESCALATE,INSUFFICIENT,SUFFICIENT
5,@AmericanAir AA5172 is now delayed until 5:54 (scheduled departure of 2:44). Am I going to get to Indy tonight? Please tell me soon so that I can avoid an afternoon at the airport along with disrupted vacation plans.,flight_delay_status,flight_delay_status,0.15808693477441596,"my flight is now delayed until tomorrow at 9:30am 

@americanair i want a refund","@366317 We did have a crew for your flight however, our crew can be displaced due to operational reasons. Thanks for your patience tonight.",0.19753061991633583,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
6,@AmericanAir Sign up is it easier to use than booking a flight sorry to bother you,booking,booking,0.11792035046064145,@AmericanAir Easier to book airlines other than #AmericanAir than dealing with customer service,@446221 They're available to speak to M-F 8a-7p CST. Please try giving them a call if you still haven't received an email response.,0.22580648358290317,booking,True,True,,Provide booking guidance or troubleshoot the booking issue; verify reservation details for case-specific problems.,False,ESCALATE,low_intent_confidence,AUTO,SUFFICIENT,INSUFFICIENT
7,@AmericanAir can an individual have 2 advantage accounts?,loyalty,booking,0.06976850394354114,"@AmericanAir I told AA agents to book from separate accounts, they booked from one which could not cover both. Now Award space is gone",@486692 Our apologies for this situation. You'd need to continue to work with our AAdvantage Reservations team.,0.13398773907709743,booking,True,True,,Explain general AAdvantage information and verify account details for account-specific requests.,False,ESCALATE,low_intent_confidence,AUTO,SUFFICIENT,INSUFFICIENT
8,@AmericanAir And Bc we missed are take off window we sitting here now 🤷🏾‍♂️,rebooking_itinerary,rebooking_itinerary,0.095195918405602,Nothing pisses me off more than missing a connection because we are sitting here waiting for a gate for 30 mins. @AmericanAir,"@222622 We understand that's frustrating, and apologize for the added wait on the ramp today.",0.15598593716257594,rebooking_itinerary,False,False,live_travel_or_itinerary_issue,Review the itinerary and provide appropriate rebooking or itinerary-change options.,False,ESCALATE,low_intent_confidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
9,@AmericanAir Been waiting 45 minutes at DCA gate 39 for wheelchair to bag claim,accessibility,checkin_boarding_gate,0.13688939045373147,@AmericanAir @3044 Why is AA Flt 4757 waiting 45 min for a gate?,@464279 Sorry for the wait Colleen. Looks like you're good to go now.,0.2167349719022979,checkin_boarding_gate,False,False,accessibility_assistance_required,Acknowledge the accessibility need and connect the customer with appropriate assistance.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
10,@AmericanAir on board 2266 to MIA. Delayed. What is the estimated departure.,flight_delay_status,flight_delay_status,0.15557364058214132,And now just crossed 3 hour mark in flight delay @AmericanAir w/ no estimated departure time @116147 https://t.co/z7TvnVypeV,@539648 We're sorry about the wait. What's your flight number? We'll check on an update for you.,0.24903527883744891,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,False,ESCALATE,insufficient_historical_evidence,ESCALATE,INSUFFICIENT,INSUFFICIENT
