eval_id,customer_tweet_id,customer_created_at,customer_text,sampling_bucket,human_intent,safe_to_auto_handle,evidence_sufficient,escalation_reason,expected_reply_points,retrieved_customer,baseline_reply,retrieval_similarity,reply_point_coverage,predicted_intent,predicted_auto,correct_auto_decision
1,353647,2017-11-25 04:52:13+00:00,@AmericanAir my flight tmrw is booked for 7:45pm &amp; w/o warning I’m being asked to check in for a 5:08pm flight. What am I supposed to do? https://t.co/wpu8eVxZO8,checkin_boarding_gate,cancellation_schedule,False,False,live_travel_or_itinerary_issue,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,I left my Nook on my @AmericanAir flight. :( What am I supposed to do now--read actual books???,"@704002 We want to get you your tablet back as quickly as possible. Please fill out the lost and found form online, https://t.co/JsEGHYNki5.",0.37675653273636467,0.0,unknown,False,True
2,628393,2017-11-22 14:49:44+00:00,@AmericanAir So if they compensate people to voluntarily give up their seat I think they ought to compensate you for not putting you on the flight you paid for. Only fair right?,payment_fees_refund,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,"If airlines are going to charge for WiFi, they ought to improve the product . Can barely log on to twitter @AmericanAir #Frustration",@322659 We're sorry you're having connectivity issues. Multiple people connected to it may reduce the speed a bit.,0.18546475399364298,0.0,unknown,False,True
3,462876,2017-12-01 02:19:54+00:00,"(1/2) Another disappointing experience @AmericanAir. Agent error, go from upgrade to 1st to losing seat. No apology. Glad I’m ecexplat👍",seat,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,@AmericanAir Can I use my voucher to upgrade to 1st class????,@170319 Your voucher can be used towards the difference in fares to upgrade. Please call Reservations for details.,0.211646030041308,0.0,unknown,False,True
4,125481,2017-11-24 02:31:28+00:00,"My in flight entertainment system is not working. Thanks @AmericanAir, you never cease to suck!",onboard_services,onboard_services,False,False,current_service_or_aircraft_issue,Provide information about onboard services and escalate current aircraft-specific problems.,@AmericanAir providing in-Flight entertainment #squeak https://t.co/UZjKNWTZtW,"@497213 We're sorry for the #squeaks, Stacy. Please be sure to let a crew member know.",0.37722101953474707,0.0,unknown,False,True
5,638079,2017-11-22 20:06:59+00:00,@AmericanAir AA5172 is now delayed until 5:54 (scheduled departure of 2:44). Am I going to get to Indy tonight? Please tell me soon so that I can avoid an afternoon at the airport along with disrupted vacation plans.,flight_delay_status,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,"my flight is now delayed until tomorrow at 9:30am 

@americanair i want a refund","@366317 We did have a crew for your flight however, our crew can be displaced due to operational reasons. Thanks for your patience tonight.",0.19767961065810952,0.1111111111111111,unknown,False,True
6,1630668,2017-11-26 04:15:07+00:00,@AmericanAir Sign up is it easier to use than booking a flight sorry to bother you,booking,booking,True,True,,Provide booking guidance or troubleshoot the booking issue; verify reservation details for case-specific problems.,@AmericanAir Easier to book airlines other than #AmericanAir than dealing with customer service,@446221 They're available to speak to M-F 8a-7p CST. Please try giving them a call if you still haven't received an email response.,0.2258205723190977,0.0,unknown,False,False
7,2835152,2017-11-27 14:51:25+00:00,@AmericanAir can an individual have 2 advantage accounts?,loyalty,loyalty,True,True,,Explain general AAdvantage information and verify account details for account-specific requests.,@AmericanAir @62888 First agent said this person has three accounts! #TryingToLoseAsCustomer 😡😡😡😡😡,@474900 Please continue to work with our AAdvantage Customer Service. They will be able to get that fixed for you. We appreciate your patience.,0.23779632364586537,0.1111111111111111,unknown,False,False
8,488983,2017-12-01 16:21:05+00:00,@AmericanAir And Bc we missed are take off window we sitting here now 🤷🏾‍♂️,ambiguous_general,rebooking_itinerary,False,False,live_travel_or_itinerary_issue,Review the itinerary and provide appropriate rebooking or itinerary-change options.,"@AmericanAir 30 mins on tarmac bc we were early, now we are late...still sitting here","@579524 We're sorry for the wait, Marla. We'll have you deplaned and on your way as soon as possible.",0.3126899039506532,0.0,unknown,False,True
9,602896,2017-12-03 22:04:45+00:00,@AmericanAir Been waiting 45 minutes at DCA gate 39 for wheelchair to bag claim,baggage,accessibility,False,False,accessibility_assistance_required,Acknowledge the accessibility need and connect the customer with appropriate assistance.,Waiting 45+ minutes to board b/c missing one flight attendant. @AmericanAir,@204287 Thanks for your patience. Our Captain will do his best to make up some time in the air for you.,0.29345909147621685,0.0,unknown,False,True
10,477292,2017-12-01 11:43:08+00:00,@AmericanAir on board 2266 to MIA. Delayed. What is the estimated departure.,checkin_boarding_gate,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,@AmericanAir Can you tell me the status on flight 5104? What is the estimated departure time out of HPN?,@436961 We're showing an updated departure time of 6:08p. It looks like the incoming aircraft was slightly delayed.,0.3460232500768434,0.0,unknown,False,True
11,620661,2017-11-22 17:10:55+00:00,"Nice J seat for me on AA107, love the 777-300 @AmericanAir https://t.co/tBf1yeo6aE",seat,seat,True,True,,Explain available seating options and review the reservation when the issue is case-specific.,Did @AmericanAir remove the 777-300 from LAX-MIA??,@317147 We are no longer using that aircraft out of LAX to MIA but we do have a Dreamliner that stops in DFW-MIA that departs at 2:05p.,0.41407754759575743,0.0,unknown,False,False
12,86546,2017-11-30 14:07:02+00:00,"Hey, @AmericanAir, if my flight is going to be canceled on December 23, please let me know now and not later. I don’t want it to come to this, but I may have to find another airline who actually has pilots who are scheduled to fly.",cancellation_schedule,cancellation_schedule,True,True,,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,@AmericanAir Please let me know how to proceed.,"@330222 Caitlin, please join us in DMs. We see the reservation has been canceled and you may be eligible for a full refund.",0.2040421964631964,0.0,unknown,False,False
13,149668,2017-11-24 14:51:32+00:00,"@122986 let’s me know that this is how they get you. My research let me know I could most likely get seats for “free” if I select them closer to my flight date. That’s great news. But I have a bad memory. 

But this information was not easily accessible on the @AmericanAir site",accessibility,booking,True,True,,Provide booking guidance or troubleshoot the booking issue; verify reservation details for case-specific problems.,@SouthwestAir @Delta @116450 @AmericanAir PLS LET ME KNOW,@533988 You definitely can! It's a pretty spectacular view.,0.25896675358154764,0.0,unknown,False,False
14,501122,2017-12-01 19:13:44+00:00,It's never to late to say THANKS - @AmericanAir our Thanksgiving travel was uneventful. #perfect#nocomplaints,flight_delay_status,flight_delay_status,True,True,,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,Just arrived @74632 &amp; had to say THANKS to @AmericanAir. @10858 is stunning on cover of @74633 https://t.co/EuTLJRHmUb,"@663708 Thanks for flying with us today. We're glad enjoyed the article and you're right, she's stunning!",0.22148985192305398,0.0,unknown,False,False
15,653208,2017-11-22 21:16:40+00:00,"Unfortunately another @AmericanAir failure. My trusty carry on, checked out in the measuring device this afternoon, (have used it hundreds of times) was rejected and checked after being shoddily thrust into the measurer at an angle to “prove” it wouldn’t fit.",baggage,baggage,False,False,case_specific_baggage_issue,"Address the baggage issue, explain the relevant process, and request claim/tracking details when needed.","@AmericanAir If you do, prove it.","@364385 We've got the newest US fleet in the sky, and would welcome you to check them out: https://t.co/Cqtk8kHZip",0.22299351809822499,0.0,unknown,False,True
