eval_id,evidence_sufficient,confidence,reason
1,False,5,"The evidence concerns lost property, seat availability, and missed connections, not an unexpected schedule change or check-in for an earlier flight."
2,False,5,The evidence does not explain compensation eligibility or address being denied the flight paid for; it only mentions possible vouchers and general gate assistance.
3,False,5,"The evidence discusses using a voucher for an upgrade and generic first-class experiences, but not an agent-caused loss of an upgraded seat or an appropriate resolution."
4,True,4,One example directly concerns a problem with in-flight entertainment and supports advising the customer to notify a crew member.
5,False,5,"The evidence does not provide the current flight status, expected arrival in Indianapolis, or guidance on whether the customer should remain at the airport."
7,False,4,"The evidence mentions an account holder with multiple accounts and directs them to customer service, but it does not establish whether an individual may have two AAdvantage accounts."
8,False,5,"The evidence concerns waiting on the aircraft and delays, but does not address a missed takeoff window or rebooking options."
9,False,5,"The evidence concerns waits for boarding, gates, and baggage, not the customer's specific request for wheelchair assistance from the gate to baggage claim."
11,False,4,"The evidence discusses 777 aircraft operations and general celebratory comments, but does not meaningfully address or support a response to the customer's specific J-seat comment."
12,False,5,"The evidence addresses a reservation already canceled, a delay update, and website issues, but not advance notification of a possible future cancellation."
15,False,4,"The evidence acknowledges similar carry-on sizing frustration but provides no policy, explanation, or resolution for the disputed bag measurement."
16,False,5,The evidence discusses eligibility and upgrade types but does not explain why the customer cannot request a 500-mile upgrade or how to fix the issue.
19,False,5,"The evidence supports requesting a record locator to investigate lost seats, but does not address whether or when seat and priority-boarding fees will be refunded."
20,False,5,"The evidence concerns flight cancellation, generic assistance, and a bag-related DM, but does not address the customer's bag-rule complaint."
21,False,5,"The evidence only offers generic patience or assistance and does not address urgent wheelchair access, the broken ankle, or the imminent departure."
23,False,4,"The evidence concerns missed connections and possible rebooking, but does not support a response to this specific successful rebooking and thank-you message."
25,True,4,A closely matching case involving a gate crew absent for about 20 minutes supports apologizing and advising that the team should arrive shortly.
27,True,4,The evidence directly addresses being moved to the back of the aircraft and supports offering help with a seat change or explaining that an equipment change may be involved.
28,False,5,The retrieved examples are unrelated to deplaning and repeated delays and provide no flight-status information or resolution.
31,False,5,"Although one example involves a missing confirmation email, the suggested record-locator process does not help a customer who never received or recorded the booking reference."
32,False,5,"The evidence only contains generic assurances and does not address the delayed flight, missed connection, rebooking, meals, or lodging."
33,False,4,The evidence discusses forms and unrelated fee or lost-item issues but does not explain how to obtain a bag-fee receipt without the required ticket number.
34,False,4,"The evidence provides generic refund-request or status guidance but does not address the specific delayed refund involving cancelled flights, lost luggage, and two airlines."
