eval_id,customer_tweet_id,customer_created_at,customer_text,sampling_bucket,human_intent,safe_to_auto_handle,evidence_sufficient,escalation_reason,expected_reply_points,baseline_reply,reply_point_coverage,predicted_auto,correct_auto_decision,predicted_intent
1,353647,2017-11-25 04:52:13+00:00,@AmericanAir my flight tmrw is booked for 7:45pm &amp; w/o warning I’m being asked to check in for a 5:08pm flight. What am I supposed to do? https://t.co/wpu8eVxZO8,checkin_boarding_gate,cancellation_schedule,False,False,live_travel_or_itinerary_issue,Explain cancellation or schedule-change information and provide applicable next steps without guaranteeing an outcome.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
2,628393,2017-11-22 14:49:44+00:00,@AmericanAir So if they compensate people to voluntarily give up their seat I think they ought to compensate you for not putting you on the flight you paid for. Only fair right?,payment_fees_refund,payment_fees_refund,False,False,financial_or_case_specific_issue,Explain applicable fee/refund processes and avoid promising reimbursement without verifying the case.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
3,462876,2017-12-01 02:19:54+00:00,"(1/2) Another disappointing experience @AmericanAir. Agent error, go from upgrade to 1st to losing seat. No apology. Glad I’m ecexplat👍",seat,seat,False,False,case_specific_seating_issue,Explain available seating options and review the reservation when the issue is case-specific.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
4,125481,2017-11-24 02:31:28+00:00,"My in flight entertainment system is not working. Thanks @AmericanAir, you never cease to suck!",onboard_services,onboard_services,False,False,current_service_or_aircraft_issue,Provide information about onboard services and escalate current aircraft-specific problems.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
5,638079,2017-11-22 20:06:59+00:00,@AmericanAir AA5172 is now delayed until 5:54 (scheduled departure of 2:44). Am I going to get to Indy tonight? Please tell me soon so that I can avoid an afternoon at the airport along with disrupted vacation plans.,flight_delay_status,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
6,1630668,2017-11-26 04:15:07+00:00,@AmericanAir Sign up is it easier to use than booking a flight sorry to bother you,booking,booking,True,True,,Provide booking guidance or troubleshoot the booking issue; verify reservation details for case-specific problems.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
7,2835152,2017-11-27 14:51:25+00:00,@AmericanAir can an individual have 2 advantage accounts?,loyalty,loyalty,True,True,,Explain general AAdvantage information and verify account details for account-specific requests.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,False,unknown
8,488983,2017-12-01 16:21:05+00:00,@AmericanAir And Bc we missed are take off window we sitting here now 🤷🏾‍♂️,ambiguous_general,rebooking_itinerary,False,False,live_travel_or_itinerary_issue,Review the itinerary and provide appropriate rebooking or itinerary-change options.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
9,602896,2017-12-03 22:04:45+00:00,@AmericanAir Been waiting 45 minutes at DCA gate 39 for wheelchair to bag claim,baggage,accessibility,False,False,accessibility_assistance_required,Acknowledge the accessibility need and connect the customer with appropriate assistance.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.2,False,True,unknown
10,477292,2017-12-01 11:43:08+00:00,@AmericanAir on board 2266 to MIA. Delayed. What is the estimated departure.,checkin_boarding_gate,flight_delay_status,False,False,live_travel_or_itinerary_issue,Provide current flight status/ETA when available; avoid guessing and request flight details when necessary.,Sorry you're experiencing this. Please contact American Airlines support for further assistance.,0.0,False,True,unknown
